Module                  Size  Used by
rfcomm                102400  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
ccm                    20480  3
cmac                   12288  3
algif_hash             12288  1
snd_acp_legacy_mach    24576  0
qrtr                   53248  2
snd_acp_mach           45056  1 snd_acp_legacy_mach
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
snd_soc_nau8821        61440  1 snd_acp_mach
snd_soc_dmic           12288  1
snd_acp3x_pdm_dma      12288  1
snd_acp3x_rn           12288  4
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
amdgpu              17121280  16
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        53248  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
bnep                   32768  2
snd_sof_pci            24576  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
snd_sof               380928  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_hda_codec_realtek   200704  1
snd_soc_core          438272  7 snd_soc_nau8821,snd_acp_mach,snd_acp3x_rn,snd_sof,snd_acp_legacy_mach,snd_soc_dmic,snd_acp3x_pdm_dma
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_codec_hdmi     94208  1
snd_compress           28672  1 snd_soc_core
ac97_bus               12288  1 snd_soc_core
snd_hda_intel          61440  10
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_intel_dspcfg       36864  2 snd_hda_intel,snd_sof
mt7921e                20480  0
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
snd_pci_ps             24576  0
btusb                  77824  0
mt7921_common          81920  1 mt7921e
intel_rapl_msr         20480  0
btrtl                  32768  1 btusb
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
snd_rpl_pci_acp6x      16384  0
mt792x_lib             69632  2 mt7921e,mt7921_common
amdxcp                 12288  1 amdgpu
intel_rapl_common      40960  1 intel_rapl_msr
btintel                57344  1 btusb
snd_hda_core          139264  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
snd_acp_pci            12288  0
drm_exec               12288  1 amdgpu
mt76_connac_lib       102400  3 mt792x_lib,mt7921e,mt7921_common
snd_acp_legacy_common    16384  1 snd_acp_pci
uvcvideo              139264  0
snd_hwdep              20480  1 snd_hda_codec
btbcm                  24576  1 btusb
gpu_sched              61440  1 amdgpu
mt76                  131072  4 mt792x_lib,mt7921e,mt7921_common,mt76_connac_lib
snd_pci_acp6x          16384  0
snd_seq_midi           24576  0
btmtk                  12288  1 btusb
videobuf2_vmalloc      20480  1 uvcvideo
drm_buddy              20480  1 amdgpu
snd_seq_midi_event     16384  1 snd_seq_midi
uvc                    12288  1 uvcvideo
drm_suballoc_helper    16384  1 amdgpu
snd_pcm               192512  16 snd_sof_amd_acp,snd_soc_nau8821,snd_hda_codec_hdmi,snd_pci_acp6x,snd_acp_mach,snd_hda_intel,snd_hda_codec,snd_sof,snd_compress,snd_acp_legacy_mach,snd_soc_core,snd_sof_utils,snd_hda_core,snd_acp3x_pdm_dma,snd_pci_ps,snd_pcm_dmaengine
videobuf2_memops       16384  1 videobuf2_vmalloc
mac80211             1720320  4 mt792x_lib,mt76,mt7921_common,mt76_connac_lib
snd_rawmidi            57344  1 snd_seq_midi
drm_ttm_helper         12288  1 amdgpu
bluetooth            1028096  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
snd_pci_acp5x          16384  0
edac_mce_amd           28672  0
videobuf2_v4l2         36864  1 uvcvideo
ttm                   110592  2 amdgpu,drm_ttm_helper
rtsx_usb_ms            24576  0
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
drm_display_helper    237568  1 amdgpu
ecdh_generic           16384  2 bluetooth
snd_rn_pci_acp3x       16384  0
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
videodev              352256  2 videobuf2_v4l2,uvcvideo
cec                    94208  1 drm_display_helper
kvm_amd               208896  0
memstick               28672  1 rtsx_usb_ms
ecc                    45056  1 ecdh_generic
snd_acp_config         20480  9 snd_rn_pci_acp3x,snd_pci_acp6x,snd_pci_acp5x,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_acp_pci,snd_pci_ps,snd_sof_amd_renoir
cfg80211             1327104  4 mt76,mac80211,mt7921_common,mt76_connac_lib
snd                   143360  46 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_acp_mach,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_acp_legacy_mach,snd_soc_core,snd_pcm,snd_rawmidi
rc_core                73728  1 cec
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_soc_acpi           16384  2 snd_sof_amd_acp,snd_acp_config
msi_wmi                16384  0
msi_ec                 12288  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
sparse_keymap          12288  1 msi_wmi
i2c_algo_bit           16384  1 amdgpu
libarc4                12288  1 mac80211
wmi_bmof               12288  0
i2c_piix4              32768  0
ccp                   143360  1 kvm_amd
k10temp                16384  0
rapl                   20480  0
soundcore              16384  1 snd
snd_pci_acp3x          16384  0
kvm                  1404928  1 kvm_amd
binfmt_misc            24576  1
irqbypass              12288  1 kvm
nls_iso8859_1          12288  1
input_leds             12288  0
joydev                 32768  0
amd_pmc                45056  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
